customer_id,country,lifetime_value,total_orders,first_order_date,last_order_date
C15498,United Kingdom,447227.8500000013,35,2010-12-07,2011-12-09
C16938,United Kingdom,447108.13000002323,5,2011-02-04,2011-12-01
C14456,United Kingdom,446811.46000002057,14,2011-07-20,2011-12-04
C16360,United Kingdom,445016.32999999163,8,2011-09-12,2011-12-05
C12540,Spain,441324.6699999991,19,2010-12-13,2011-11-20
C13969,United Kingdom,438921.73000000103,20,2010-12-09,2011-12-02
C15856,United Kingdom,435315.7500000012,31,2010-12-09,2011-12-05
C13263,United Kingdom,429824.22000000195,35,2011-01-18,2011-12-08
C13209,United Kingdom,413051.27999998786,11,2010-12-13,2011-11-09
C16843,United Kingdom,412513.61999999854,17,2011-01-16,2011-10-28
C12539,Spain,410394.1900000056,5,2011-01-10,2011-11-17
C16873,United Kingdom,408568.67999999935,10,2010-12-10,2011-12-05
C15023,United Kingdom,404423.32000000076,12,2010-12-05,2011-12-06
C14367,United Kingdom,402145.51000000106,19,2011-03-08,2011-12-01
C17337,United Kingdom,401803.0300000097,7,2011-02-02,2011-07-11
C15513,United Kingdom,397771.5999999993,22,2010-12-01,2011-11-08
C14277,France,396015.86999999936,4,2011-05-11,2011-11-24
C15502,United Kingdom,394895.4599999973,23,2010-12-05,2011-11-24
C14194,United Kingdom,392909.6200000018,32,2011-02-04,2011-12-05
C12921,United Kingdom,391735.3500000008,50,2010-12-01,2011-12-06
C14606,United Kingdom,386289.4100000038,128,2010-12-01,2011-12-08
C12472,Germany,385484.96000000066,13,2010-12-01,2011-11-09
C15719,United Kingdom,385192.54000000586,14,2011-01-06,2011-11-07
C16705,United Kingdom,383801.3400000001,29,2010-12-16,2011-12-09
C13798,United Kingdom,382811.5800000006,63,2010-12-02,2011-12-08
C12484,Spain,379769.289999996,8,2011-01-07,2011-11-07
C12621,Germany,378921.27000000153,23,2010-12-09,2011-12-08
C15676,United Kingdom,374592.680000011,5,2011-03-01,2011-11-30
C12757,Portugal,374107.61999998003,19,2011-05-12,2011-11-24
C16303,United Kingdom,374039.29999999795,4,2011-01-10,2011-11-14
C13001,United Kingdom,368042.86000000045,15,2011-01-17,2011-12-05
C14415,United Kingdom,367191.59999999456,18,2010-12-14,2011-12-08
C16422,United Kingdom,366947.53000000026,75,2010-12-05,2011-11-22
C12637,France,361538.12999999896,10,2011-01-20,2011-10-03
C13488,United Kingdom,361218.7499999999,17,2010-12-07,2011-11-22
C17416,United Kingdom,361067.1599999984,9,2011-03-03,2011-11-10
C17426,United Kingdom,355539.46999999933,7,2011-03-02,2011-12-05
C17059,United Kingdom,352896.0100000017,5,2010-12-05,2011-11-10
C17428,United Kingdom,351355.44999999984,33,2010-12-06,2011-12-09
C17581,United Kingdom,350844.2300000008,31,2010-12-02,2011-12-09
C13334,United Kingdom,350179.18000000634,3,2011-02-07,2011-09-18
C15998,United Kingdom,348131.3999999913,6,2010-12-12,2011-11-03
C17365,United Kingdom,346880.15999999916,8,2011-01-11,2011-11-27
C15769,United Kingdom,344682.52,29,2010-12-03,2011-12-02
C13137,United Kingdom,342388.01000000443,9,2011-02-04,2011-11-29
C13174,United Kingdom,340867.55000000756,3,2010-12-05,2011-11-23
C13869,United Kingdom,337590.0399999921,4,2010-12-17,2011-08-08
C17686,United Kingdom,337557.52000000176,7,2011-02-10,2011-12-02
C12700,France,337377.5200000033,6,2011-05-08,2011-12-02
C13422,United Kingdom,333515.3499999959,2,2011-10-06,2011-10-19
C12867,United Kingdom,331458.8100000033,10,2010-12-14,2011-11-13
C12766,Portugal,328082.6299999953,7,2010-12-08,2011-12-06
C13777,United Kingdom,327850.9200000001,41,2010-12-01,2011-12-09
C18118,United Kingdom,327124.1399999993,31,2010-12-05,2011-11-29
C14535,United Kingdom,325670.66999999766,4,2011-04-05,2011-10-11
C13340,United Kingdom,324542.07999999943,7,2011-03-08,2011-10-25
C16923,United Kingdom,324241.4100000019,26,2010-12-12,2011-11-27
C12501,Germany,322362.3000000025,2,2011-01-07,2011-01-28
C12705,Germany,318518.0600000001,14,2010-12-17,2011-11-24
C16940,United Kingdom,317888.3600000036,3,2011-02-23,2011-10-18
C15529,United Kingdom,316799.5499999987,12,2010-12-08,2011-11-17
C12597,Spain,313207.1799999947,5,2011-03-16,2011-11-20
C15150,United Kingdom,310121.2199999989,11,2011-03-15,2011-11-22
C18055,United Kingdom,308631.6599999936,11,2010-12-05,2011-12-02
C15555,United Kingdom,308315.61000000435,20,2010-12-05,2011-11-27
C16713,United Kingdom,308304.46000000206,21,2010-12-08,2011-11-21
C13458,United Kingdom,307525.3200000001,22,2010-12-15,2011-12-02
C15531,United Kingdom,306636.66000000655,2,2011-11-09,2011-12-01
C15993,United Kingdom,305515.7199999996,10,2011-10-26,2011-12-01
C13124,United Kingdom,303757.5699999985,3,2010-12-15,2011-09-11
C13319,United Kingdom,301615.2300000011,36,2010-12-07,2011-12-04
C16686,United Kingdom,300940.1799999913,9,2010-12-19,2011-10-23
C17811,United Kingdom,299961.7099999979,51,2011-01-10,2011-12-05
C17509,United Kingdom,297502.1100000039,11,2011-10-07,2011-10-13
C13097,United Kingdom,292301.81999999966,14,2010-12-14,2011-11-07
C17677,United Kingdom,288391.20999999944,43,2010-12-06,2011-12-08
C13408,United Kingdom,286067.69,81,2010-12-01,2011-12-08
C12626,Germany,284832.0900000011,13,2011-01-17,2011-11-16
C15547,United Kingdom,282719.68000000046,14,2010-12-12,2011-12-02
C17813,United Kingdom,282224.37000003556,7,2011-09-29,2011-11-25
C13451,United Kingdom,280653.2300000014,6,2011-01-09,2011-11-13
C15358,United Kingdom,279739.5600000005,29,2010-12-09,2011-12-05
C14961,United Kingdom,277518.3100000001,12,2010-12-14,2011-11-29
C15044,United Kingdom,276981.4599999998,22,2010-12-12,2011-11-20
C13505,Switzerland,276857.3899999964,8,2011-04-21,2011-10-03
C17084,United Kingdom,275360.14999999345,2,2011-11-04,2011-11-04
C16729,United Kingdom,274396.3200000022,26,2011-04-12,2011-11-03
C15615,United Kingdom,273925.5499999994,27,2010-12-15,2011-11-29
C15034,United Kingdom,273682.8099999961,11,2010-12-21,2011-11-24
C16029,United Kingdom,271347.77,76,2010-12-01,2011-11-01
C12714,France,265955.7999999977,5,2011-02-18,2011-11-30
C14329,United Kingdom,265539.09000000125,14,2011-01-14,2011-12-01
C15727,United Kingdom,264071.53999999986,7,2010-12-15,2011-11-23
C15005,United Kingdom,261658.62000000157,35,2010-12-08,2011-11-24
C16609,United Kingdom,259491.11999999982,9,2011-04-01,2011-11-24
C18139,United Kingdom,258593.16000000125,8,2011-11-21,2011-11-22
C12683,France,258516.0899999996,20,2010-12-09,2011-12-05
C17049,United Kingdom,256185.85999999702,11,2011-03-09,2011-12-07
C14667,United Kingdom,255893.74000000002,27,2010-12-06,2011-11-29
C17865,United Kingdom,254958.19000000058,27,2010-12-10,2011-11-09
C15861,United Kingdom,253648.2300000017,9,2011-03-17,2011-11-27
C13815,Germany,251264.05999999962,5,2011-01-25,2011-11-17
C12682,France,251131.84999999957,31,2010-12-03,2011-12-06
C16240,United Kingdom,250435.17999999938,5,2011-09-23,2011-12-01
C17728,United Kingdom,244894.55999999563,5,2011-09-14,2011-12-06
C14031,United Kingdom,244333.6100000002,23,2010-12-02,2011-12-02
C13952,United Kingdom,243137.43299999955,3,2011-04-15,2011-05-12
C17949,United Kingdom,240977.45000000007,52,2010-12-03,2011-12-08
C12444,Norway,238650.4200000007,5,2011-06-21,2011-11-18
C12474,Germany,238512.81000000055,30,2010-12-06,2011-11-22
C12749,United Kingdom,238450.8399999991,8,2011-05-10,2011-12-06
C12476,Germany,238004.30999999982,20,2010-12-13,2011-12-08
C15484,United Kingdom,237363.18999999014,5,2011-09-22,2011-12-08
C17758,United Kingdom,234088.499999999,8,2011-04-03,2011-11-20
C16180,United Kingdom,233878.8400000001,10,2011-04-01,2011-08-31
C16558,United Kingdom,232273.97999999873,24,2010-12-08,2011-12-09
C15125,United Kingdom,231946.7400000002,23,2011-03-14,2011-11-14
C12752,Norway,231439.34,1,2011-09-19,2011-09-19
C14866,United Kingdom,231194.80000000005,13,2010-12-08,2011-11-29
C15601,United Kingdom,229664.01000000173,17,2010-12-02,2011-11-28
C16440,United Kingdom,229635.8199999993,5,2011-05-09,2011-12-02
C14547,United Kingdom,229230.60000000065,9,2011-10-16,2011-12-06
C16253,United Kingdom,228945.1599999994,3,2011-03-29,2011-11-08
C17571,United Kingdom,227720.23000000048,4,2011-02-14,2011-10-20
C14175,United Kingdom,224168.32999999655,7,2011-01-14,2011-10-19
C14546,United Kingdom,223843.13999999588,9,2011-04-05,2011-12-05
C13709,United Kingdom,223549.90000000002,17,2011-01-28,2011-12-06
C13471,United Kingdom,223207.0499999986,4,2011-10-23,2011-12-08
C16931,United Kingdom,221755.790000002,21,2010-12-05,2011-12-04
C14733,United Kingdom,218878.38,15,2010-12-07,2011-11-30
C15834,United Kingdom,218814.08999999566,6,2010-12-02,2011-09-30
C14258,United Kingdom,217019.00000000026,10,2011-01-06,2011-11-30
C18069,United Kingdom,215901.46999999782,7,2011-01-16,2011-11-13
C12432,Norway,213528.51999999993,5,2011-06-20,2011-10-28
C16904,United Kingdom,211726.85999999708,16,2010-12-07,2011-12-05
C15764,United Kingdom,210364.57999999993,10,2011-03-08,2011-09-19
C16126,United Kingdom,209973.480000001,4,2011-02-16,2011-11-10
C16717,United Kingdom,209588.2600000007,9,2010-12-08,2011-11-30
C17364,United Kingdom,209471.41999999876,12,2011-01-12,2011-12-09
C15249,United Kingdom,209187.0800000008,15,2011-03-28,2011-11-08
C12473,Germany,207824.0300000005,9,2011-06-01,2011-11-10
C16327,United Kingdom,206613.35999999914,6,2010-12-05,2011-11-25
C14422,United Kingdom,204588.78999999963,6,2011-03-17,2011-12-09
C14903,United Kingdom,204415.44000000082,10,2011-03-06,2011-11-18
C16081,United Kingdom,203992.55000000002,5,2010-12-08,2011-10-14
C15416,United Kingdom,201766.01999999917,5,2011-03-02,2011-10-06
C12949,United Kingdom,201675.30999999773,10,2011-04-01,2011-11-09
C14432,United Kingdom,201541.04999999807,6,2011-09-11,2011-11-30
C14525,United Kingdom,200883.76999999708,13,2010-12-13,2011-12-01
C16655,United Kingdom,200554.2800000001,6,2011-01-12,2011-11-22
C14554,United Kingdom,200417.40000000037,4,2011-10-18,2011-11-29
C12370,Cyprus,199998.2199999988,4,2010-12-14,2011-10-19
C12449,Belgium,199735.08000000054,4,2011-06-05,2011-11-17
C15113,United Kingdom,199037.19000000035,4,2011-10-16,2011-11-30
C15078,United Kingdom,197628.37999999977,38,2010-12-06,2011-12-02
C17920,United Kingdom,197132.97000000157,17,2010-12-01,2011-12-05
C16800,United Kingdom,197044.36000000022,1,2011-11-28,2011-11-28
C17050,United Kingdom,196935.81000000032,6,2011-02-13,2011-09-04
C15004,United Kingdom,196918.55999999866,1,2011-07-15,2011-07-15
C14800,United Kingdom,196480.82000000202,16,2010-12-05,2011-10-23
C15805,United Kingdom,195471.86000000066,20,2010-12-10,2011-11-16
C12613,Germany,195470.0800000009,6,2011-03-22,2011-11-08
C13139,United Kingdom,195439.61999999656,8,2011-03-25,2011-11-23
C16746,United Kingdom,194938.63000000105,19,2010-12-16,2011-12-05
C16007,United Kingdom,194642.07000000816,4,2011-05-08,2011-10-23
C13975,United Kingdom,193783.43000000264,7,2011-03-08,2011-11-08
C15808,United Kingdom,192859.11999999548,5,2010-12-05,2011-02-06
C15443,United Kingdom,192175.44999999946,8,2011-01-23,2011-12-08
C14502,United Kingdom,192055.77999999348,14,2011-01-30,2011-11-20
C16652,United Kingdom,191187.04000000027,11,2011-03-11,2011-10-17
C16133,United Kingdom,190654.34000000003,46,2011-01-25,2011-12-06
C15251,United Kingdom,189983.45999999967,15,2011-04-12,2011-11-30
C13985,United Kingdom,189962.15999999954,16,2011-03-20,2011-12-05
C17611,United Kingdom,189050.86999999787,19,2010-12-13,2011-12-06
C13523,United Kingdom,188699.0199999994,6,2010-12-08,2011-11-06
C12517,Germany,188395.94000000053,6,2011-06-02,2011-11-11
C13871,United Kingdom,187939.40000000026,14,2011-02-04,2011-11-17
C13881,United Kingdom,187489.0,22,2011-02-01,2011-12-06
C13015,United Kingdom,187385.25999999908,5,2011-04-04,2011-10-17
C15194,United Kingdom,187020.78000000052,22,2010-12-06,2011-12-06
C17672,United Kingdom,186104.50999999783,4,2011-02-03,2011-10-27
C14125,United Kingdom,183161.0799999998,3,2011-09-22,2011-11-29
C13078,United Kingdom,183133.01000000018,43,2010-12-08,2011-12-08
C12627,Germany,182903.1700000001,7,2011-07-22,2011-11-29
C13988,United Kingdom,182884.01000000045,9,2011-03-30,2011-11-20
C15444,United Kingdom,182766.71999999406,2,2011-10-30,2011-11-30
C13767,United Kingdom,180710.29000000018,52,2010-12-01,2011-12-07
C14849,United Kingdom,180417.89000000063,28,2010-12-01,2011-11-18
C16712,United Kingdom,180062.979999999,11,2011-03-08,2011-11-30
C16210,United Kingdom,179710.25000000003,18,2010-12-01,2011-12-08
C12406,Denmark,179504.3999999997,3,2011-06-09,2011-11-17
C16242,United Kingdom,179377.9300000005,8,2011-03-07,2011-12-01
C13093,United Kingdom,179065.21000000046,13,2010-12-01,2011-03-17
C17231,United Kingdom,179051.41000000155,14,2010-12-13,2011-11-27
C14390,United Kingdom,178033.91000000044,13,2010-12-02,2011-11-29
C13268,United Kingdom,176689.50000000038,15,2011-03-17,2011-11-22
C16187,United Kingdom,176192.00000000017,17,2011-02-28,2011-11-08
C14016,EIRE,176085.97000000044,5,2010-12-17,2011-07-08
C18145,United Kingdom,175850.11000000278,4,2011-01-31,2011-11-27
C17716,United Kingdom,175843.65999999977,12,2011-03-17,2011-11-17
C16523,United Kingdom,175830.7099999997,28,2011-01-28,2011-12-08
C16265,United Kingdom,175452.17000000016,11,2010-12-10,2011-11-30
C17799,United Kingdom,175287.4100000011,11,2010-12-13,2011-11-17
C13373,United Kingdom,174533.1199999999,3,2011-03-08,2011-10-10
C16767,United Kingdom,173392.71999999968,11,2011-01-27,2011-11-09
C14527,United Kingdom,171695.9400000005,86,2010-12-01,2011-12-07
C16110,United Kingdom,170381.7499999948,3,2011-02-01,2011-10-25
C17593,United Kingdom,169958.2000000004,6,2010-12-22,2011-12-06
C17625,United Kingdom,169763.48000000062,4,2011-03-27,2011-11-21
C18223,United Kingdom,168956.59999999954,27,2010-12-16,2011-12-08
C16241,United Kingdom,168763.6000000013,13,2010-12-05,2011-11-30
C15622,United Kingdom,168510.24999999965,16,2011-03-02,2011-12-06
C15296,United Kingdom,168373.42000000074,10,2011-01-17,2011-10-26
C16779,United Kingdom,167932.9199999999,28,2010-12-08,2011-12-07
C13448,United Kingdom,166979.58999999857,10,2010-12-01,2011-11-23
C12668,Germany,165888.4700000006,6,2010-12-19,2011-12-02
C12481,Germany,165155.33000000054,11,2010-12-09,2011-11-17
C15464,United Kingdom,164669.44999999396,1,2011-01-05,2011-01-05
C12578,Italy,164608.44999999864,4,2011-01-05,2011-11-18
C13365,United Kingdom,162891.3299999967,3,2011-05-06,2011-12-01
C13555,United Kingdom,162773.6400000003,4,2011-05-22,2011-09-27
C12709,Germany,162609.68000000017,26,2010-12-08,2011-12-06
C15752,United Kingdom,161883.29000000187,8,2010-12-02,2011-10-31
C13230,United Kingdom,161529.54000000015,15,2010-12-09,2011-12-05
C17444,Canada,161082.43999999986,3,2011-06-20,2011-07-15
C14506,United Kingdom,160494.7199999996,5,2010-12-05,2011-11-22
C13050,United Kingdom,159864.2599999992,28,2010-12-08,2011-11-30
C13521,United Kingdom,159266.87000000454,3,2011-11-29,2011-12-08
C16764,United Kingdom,158997.81000000125,18,2011-07-19,2011-12-06
C14730,United Kingdom,158900.58999999272,8,2011-03-08,2011-12-08
C15427,United Kingdom,158438.8499999912,3,2011-10-23,2011-11-06
C14842,United Kingdom,157929.25000000017,8,2011-02-04,2011-11-04
C17769,United Kingdom,157288.5400000002,12,2011-01-23,2011-11-27
C15033,United Kingdom,156585.88000000056,11,2011-01-14,2011-12-05
C14534,United Kingdom,156009.07999999996,25,2011-01-25,2011-12-07
C16258,United Kingdom,155884.20000000088,5,2011-05-04,2011-10-25
C13735,United Kingdom,155695.55000000104,8,2011-04-19,2011-11-15
C15708,United Kingdom,155185.58000000048,11,2010-12-05,2011-10-30
C16745,United Kingdom,155056.51999999996,18,2011-02-01,2011-09-14
C14395,United Kingdom,154947.26000000132,12,2010-12-02,2011-12-07
C12957,United Kingdom,154237.22999999972,12,2011-01-04,2011-12-05
C14146,United Kingdom,153704.57999999932,6,2010-12-17,2011-12-01
C14461,United Kingdom,153613.46,3,2011-03-23,2011-07-14
C14051,United Kingdom,153273.86000000002,26,2010-12-08,2011-12-09
C15065,United Kingdom,153232.19999999896,6,2011-02-21,2011-11-02
C15379,United Kingdom,152893.45999999915,8,2010-12-16,2011-06-23
C13178,United Kingdom,152589.20999999964,11,2010-12-14,2011-11-13
C12490,France,152380.66000000012,10,2011-01-14,2011-12-04
C12397,Belgium,151961.7400000002,2,2011-07-27,2011-11-04
C13018,United Kingdom,151558.73000000016,29,2011-02-17,2011-11-23
C18109,United Kingdom,151548.72000000003,31,2010-12-05,2011-12-08
C17589,United Kingdom,151220.37000000014,4,2011-04-13,2011-10-10
C13668,United Kingdom,150196.71999999965,29,2010-12-12,2011-12-07
C13269,United Kingdom,149725.47000000082,17,2010-12-05,2011-12-08
C12362,Belgium,148438.05999999985,13,2011-02-17,2011-12-06
C13850,United Kingdom,148370.9699999999,2,2011-08-02,2011-09-12
C13198,United Kingdom,148054.74999999997,8,2010-12-13,2011-11-29
C17017,United Kingdom,147969.87999999968,27,2010-12-02,2011-12-07
C17757,United Kingdom,147794.39999999988,31,2010-12-02,2011-12-08
C15356,United Kingdom,147733.57000000056,10,2010-12-06,2011-11-08
C17015,United Kingdom,146826.7799999956,3,2011-06-07,2011-11-11
C13090,United Kingdom,146715.23,18,2010-12-02,2011-12-01
C13901,United Kingdom,145952.29999999856,5,2011-01-25,2011-09-28
C13437,United Kingdom,145858.08999999877,7,2011-06-02,2011-11-25
C15570,United Kingdom,145218.3399999992,13,2010-12-05,2011-12-02
C18225,United Kingdom,144755.06999999954,17,2010-12-03,2011-12-06
C17238,United Kingdom,144594.80000000144,17,2010-12-03,2011-12-07
C13004,United Kingdom,143985.23,22,2010-12-17,2011-11-28
C15665,United Kingdom,143534.7499999996,2,2011-04-10,2011-06-24
C16161,United Kingdom,143272.8799999996,26,2010-12-06,2011-12-08
C12438,Norway,142435.6500000006,2,2011-07-22,2011-11-25
C14291,United Kingdom,141406.8900000002,12,2011-03-09,2011-12-08
C12435,Denmark,141066.11,2,2011-03-17,2011-09-21
C16474,United Kingdom,140361.97999999853,11,2011-07-17,2011-12-02
C16049,United Kingdom,140243.69000000088,3,2011-09-25,2011-10-30
C17400,United Kingdom,139785.35999999958,5,2010-12-21,2011-08-05
C13316,United Kingdom,139766.11000000025,5,2011-03-30,2011-11-02
C12398,Switzerland,139031.09999999963,1,2011-10-25,2011-10-25
C14704,United Kingdom,138475.0599999983,9,2011-06-12,2011-11-28
C12758,Portugal,138008.03999999975,2,2011-03-08,2011-08-15
C16013,United Kingdom,137858.18000000005,54,2010-12-03,2011-12-06
C15701,United Kingdom,137601.30999999872,4,2011-08-21,2011-12-07
C13344,United Kingdom,137563.63000000015,3,2011-03-07,2011-10-03
C16771,United Kingdom,137340.36999999982,5,2011-01-05,2011-11-06
C17160,United Kingdom,137126.19999999966,6,2011-04-12,2011-11-08
C14572,United Kingdom,136910.96000000075,10,2011-01-19,2011-12-06
C17528,United Kingdom,136441.7899999991,11,2011-09-29,2011-12-08
C14121,United Kingdom,136432.62999999954,6,2011-10-11,2011-12-06
C14057,United Kingdom,136368.27000000005,18,2010-12-14,2011-11-16
C17690,United Kingdom,136123.79000000024,16,2010-12-01,2011-11-09
C17243,United Kingdom,135783.7400000001,30,2010-12-05,2011-12-08
C13507,United Kingdom,135364.4800000008,4,2011-07-17,2011-12-06
C17613,United Kingdom,135225.51000000053,17,2011-02-07,2011-11-17
C15290,United Kingdom,134818.2899999999,21,2010-12-15,2011-12-05
C14562,United Kingdom,134636.00000000064,22,2011-02-08,2011-12-06
C12347,Iceland,134181.23999999996,7,2010-12-07,2011-12-07
C13418,United Kingdom,133859.19000000026,23,2010-12-02,2011-11-28
C17220,United Kingdom,133788.46000000017,14,2010-12-10,2011-11-15
C12456,Switzerland,133783.68000000075,4,2011-03-30,2011-10-26
C14085,United Kingdom,133144.54000000062,19,2010-12-06,2011-12-07
C16670,United Kingdom,132973.6199999999,17,2010-12-16,2011-11-23
C13755,United Kingdom,132239.2200000019,10,2011-10-07,2011-12-06
C12839,United Kingdom,131964.38999999996,16,2010-12-07,2011-12-07
C12583,France,131876.51,18,2010-12-01,2011-12-07
C18122,United Kingdom,131673.62999999998,6,2011-07-12,2011-12-01
C15874,United Kingdom,131498.92000000054,9,2011-02-28,2011-10-07
C17652,United Kingdom,131221.1600000003,18,2011-03-03,2011-11-14
C16905,United Kingdom,131059.94999999965,8,2010-12-03,2011-12-04
C15984,United Kingdom,131000.7399999944,11,2010-12-06,2011-12-07
C14930,Channel Islands,130950.68999999933,3,2011-03-10,2011-08-23
C13285,United Kingdom,130646.33000000035,4,2011-02-22,2011-11-16
C17406,United Kingdom,129405.75999999863,5,2010-12-08,2011-01-13
C14701,United Kingdom,129266.61000000035,12,2011-01-27,2011-11-29
C13362,United Kingdom,128860.37000000005,5,2011-02-25,2011-12-06
C15867,United Kingdom,128706.6999999999,16,2010-12-05,2011-12-04
C17590,United Kingdom,128590.01999999455,3,2011-10-30,2011-12-07
C12349,Italy,128301.15000000021,1,2011-11-21,2011-11-21
C18022,United Kingdom,127609.00999999978,1,2011-11-04,2011-11-04
C17284,United Kingdom,127552.01999999888,7,2011-01-07,2011-10-10
C15436,United Kingdom,127410.71000000012,3,2011-04-19,2011-11-27
C12480,Germany,127369.55999999933,4,2011-01-07,2011-11-11
C13384,United Kingdom,127253.92000000033,9,2011-06-14,2011-11-09
C15032,United Kingdom,127001.59999999983,5,2010-12-08,2011-03-28
C18204,United Kingdom,126708.79999999891,4,2011-05-31,2011-09-29
C18283,United Kingdom,126277.21999999981,16,2011-01-06,2011-12-06
C15673,United Kingdom,126012.93000000017,4,2011-01-16,2011-09-12
C13680,United Kingdom,125852.3599999999,5,2011-01-04,2011-12-08
C16700,United Kingdom,125299.24999999991,17,2010-12-08,2011-12-01
C15493,United Kingdom,125197.51999999967,7,2011-03-14,2011-11-07
C17827,United Kingdom,124801.24000000054,5,2010-12-10,2011-12-04
C18079,United Kingdom,124054.54000000074,4,2011-04-15,2011-10-25
C12856,United Kingdom,123549.20000000058,8,2011-10-07,2011-12-02
C17530,United Kingdom,123381.2899999999,10,2010-12-09,2011-12-08
C17651,United Kingdom,122889.64999999973,14,2011-06-15,2011-11-28
C13742,United Kingdom,122730.18000000124,14,2011-01-23,2011-11-23
C12625,Germany,122550.95999999839,3,2011-01-24,2011-05-12
C14004,United Kingdom,121379.85999999972,7,2011-02-24,2011-10-27
C12360,Austria,121166.21999999962,3,2011-05-23,2011-10-18
